Rank,Title,Year,Runtime,IMDb Rating,Votes,Votes_Numeric,URL
53,Bhool Bhulaiyaa 3,2024,20242h 38m,4.6,78K,78000,https://www.imdb.com/title/tt26932223/?ref_=sr_t_53
54,The Idea of You,2024,20241h 55m,6.3,77K,77000,https://www.imdb.com/title/tt9466114/?ref_=sr_t_54
55,MaXXXine,2024,20241h 43m,6.2,77K,77000,https://www.imdb.com/title/tt22048412/?ref_=sr_t_55
56,Singham Again,2024,20242h 24m,4.3,76K,76000,https://www.imdb.com/title/tt11976134/?ref_=sr_t_56
57,Mufasa: The Lion King,2024,20241h 58m,6.6,75K,75000,https://www.imdb.com/title/tt13186482/?ref_=sr_t_57
58,Maharaja,2024,20242h 21m,8.4,74K,74000,https://www.imdb.com/title/tt26548265/?ref_=sr_t_58
59,Kung Fu Panda 4,2024,20241h 34m,6.3,73K,73000,https://www.imdb.com/title/tt21692408/?ref_=sr_t_59
60,Despicable Me 4,2024,20241h 34m,6.2,71K,71000,https://www.imdb.com/title/tt7510222/?ref_=sr_t_60
61,Kraven the Hunter,2024,20242h 7m,5.5,71K,71000,https://www.imdb.com/title/tt8790086/?ref_=sr_t_61
62,Kalki 2898-AD,2024,20243h,7.0,71K,71000,https://www.imdb.com/title/tt12735488/?ref_=sr_t_62
63,Sonic the Hedgehog 3,2024,20241h 50m,6.9,71K,71000,https://www.imdb.com/title/tt18259086/?ref_=sr_t_63
64,Babygirl,2024,20241h 54m,5.8,70K,70000,https://www.imdb.com/title/tt30057084/?ref_=sr_t_64
65,Do Patti,2024,20242h 6m,6.3,70K,70000,https://www.imdb.com/title/tt28075881/?ref_=sr_t_65
66,The First Omen,2024,20241h 59m,6.5,67K,67000,https://www.imdb.com/title/tt5672290/?ref_=sr_t_66
67,Kinds of Kindness,2024,20242h 44m,6.5,63K,63000,https://www.imdb.com/title/tt22408160/?ref_=sr_t_67
68,The Apprentice,2024,20242h 2m,7.1,63K,63000,https://www.imdb.com/title/tt8368368/?ref_=sr_t_68
69,We Live in Time,2024,20241h 48m,7.0,62K,62000,https://www.imdb.com/title/tt27131358/?ref_=sr_t_69
70,The Watched,2024,20241h 42m,5.7,61K,61000,https://www.imdb.com/title/tt26736843/?ref_=sr_t_70
71,IF,2024,20241h 44m,6.4,61K,61000,https://www.imdb.com/title/tt11152168/?ref_=sr_t_71
72,Rebel Moon - Part Two: The Scargiver,2024,20242h 2m,5.3,61K,61000,https://www.imdb.com/title/tt23137904/?ref_=sr_t_72
73,Pushpa: The Rule - Part 2,2024,20243h 21m,6.1,61K,61000,https://www.imdb.com/title/tt16539454/?ref_=sr_t_73
74,Love Lies Bleeding,2024,20241h 44m,6.6,60K,60000,https://www.imdb.com/title/tt19637052/?ref_=sr_t_74
75,Ricky Stanicky,2024,20241h 53m,6.2,59K,59000,https://www.imdb.com/title/tt1660648/?ref_=sr_t_75
76,Transformers One,2024,20241h 44m,7.6,58K,58000,https://www.imdb.com/title/tt8864596/?ref_=sr_t_76
77,Atlas,2024,20241h 58m,5.6,58K,58000,https://www.imdb.com/title/tt14856980/?ref_=sr_t_77
78,Immaculate,2024,20241h 29m,5.8,56K,56000,https://www.imdb.com/title/tt23137390/?ref_=sr_t_78
79,The Union,2024,20241h 47m,5.5,55K,55000,https://www.imdb.com/title/tt12610390/?ref_=sr_t_79
80,Shaitaan,2024,20242h 12m,6.5,55K,55000,https://www.imdb.com/title/tt27744786/?ref_=sr_t_80
81,Land of Bad,2024,20241h 53m,6.6,55K,55000,https://www.imdb.com/title/tt19864802/?ref_=sr_t_81
82,Teri Baaton Mein Aisa Uljha Jiya,2024,20242h 21m,6.2,55K,55000,https://www.imdb.com/title/tt27459160/?ref_=sr_t_82
83,Terrifier 3,2024,20242h 5m,6.3,55K,55000,https://www.imdb.com/title/tt27911000/?ref_=sr_t_83
84,The Order,2024,20241h 56m,6.8,54K,54000,https://www.imdb.com/title/tt26625693/?ref_=sr_t_84
85,Fly Me to the Moon,2024,20242h 12m,6.6,54K,54000,https://www.imdb.com/title/tt1896747/?ref_=sr_t_85
86,Fighter,2024,20242h 46m,6.2,53K,53000,https://www.imdb.com/title/tt13818368/?ref_=sr_t_86
87,Borderlands,2024,20241h 41m,4.7,53K,53000,https://www.imdb.com/title/tt4978420/?ref_=sr_t_87
88,Murder Mubarak,2024,20242h 20m,5.8,51K,51000,https://www.imdb.com/title/tt27028399/?ref_=sr_t_88
89,Lift,2024,20241h 47m,5.5,51K,51000,https://www.imdb.com/title/tt14371878/?ref_=sr_t_89
90,Oddity,2024,20241h 38m,6.7,50K,50000,https://www.imdb.com/title/tt26470109/?ref_=sr_t_90
91,The Goat Life,2024,20242h 53m,7.1,49K,49000,https://www.imdb.com/title/tt5525650/?ref_=sr_t_91
